filepath,class
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0028652.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0057058.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072108.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056963.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059134.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069295.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060081.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070266.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0064519.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0029524.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0027544.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0068832.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070735.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055728.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063614.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063171.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061999.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0064725.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0027966.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056843.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066696.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070568.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072810.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066630.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058704.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066070.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063923.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0032139.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066290.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056866.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0054340.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061497.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0057933.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069582.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0054994.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071483.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060144.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0068133.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070909.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072463.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060439.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055201.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063662.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0054063.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070748.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063462.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0065282.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0062965.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0067376.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0053601.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060073.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069300.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069272.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0031721.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055806.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056550.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058466.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0067940.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060823.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0064622.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0062496.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0033019.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060298.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060040.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0053463.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059801.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066473.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0068260.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071917.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0054243.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0027545.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056510.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0065303.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0054986.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061450.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070295.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0030249.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060687.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058060.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0028350.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056099.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072461.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0025650.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0062231.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066166.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069133.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060643.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072131.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0068716.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069649.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061862.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063074.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056039.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0065703.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058911.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0024452.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0053549.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058392.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0025509.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0068669.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0062439.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058549.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071188.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061906.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0028818.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0067812.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0029680.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056547.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071672.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072974.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071116.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072656.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070183.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066363.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071597.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060139.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056691.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061600.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0057352.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061923.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060529.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059673.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0026230.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0030145.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056291.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0054524.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059453.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071513.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059396.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070958.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059006.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0065051.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069574.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0053695.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0065407.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056571.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0028323.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0068005.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058591.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056100.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066570.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0064162.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056497.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0060684.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066054.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063985.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0058709.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0030712.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0027478.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0064644.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056560.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0064148.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059592.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0073149.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0065556.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071967.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0067278.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0030010.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071555.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069422.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055497.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066701.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070081.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070701.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069049.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063479.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0032185.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0028719.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0069522.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0031140.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055890.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0062033.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055744.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0059402.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0024443.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071987.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056730.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071692.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0026978.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0056151.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0054074.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0071419.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072434.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0024743.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0072735.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055969.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0066541.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0057941.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0057112.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0032164.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0063227.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0067103.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061175.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0062747.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0064753.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0055950.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0065581.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0026090.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061324.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0070552.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0033146.jpg,4. Basal Cell Carcinoma (BCC) 3323
IMG_CLASSES\4. Basal Cell Carcinoma (BCC) 3323\ISIC_0061621.jpg,4. Basal Cell Carcinoma (BCC) 3323
